Date,Time,Service Name,Package Name,Price
"26th April, Sunday",Unknown,51. BitDeer,com.bitdeer.cloud.android,400
"26th April, Sunday",Unknown,52. Liki24,com.liki24.customerapp,400
"26th April, Sunday",Unknown,53. Raya,com.raya_app,400
"26th April, Sunday",Unknown,54. Medal,tv.medal.recorder,400
"26th April, Sunday",Unknown,55. YandexEats,ru.foodfox.client,400
"26th April, Sunday",Unknown,56. BetLabel,org.betlabel.client,400
"26th April, Sunday",Unknown,57. Shell Go+ India,com.shell.sitibv.shellgoplusindia,400
"26th April, Sunday",Unknown,58. HoYoLab,com.mihoyo.hoyolab,400
"26th April, Sunday",Unknown,59. nextBike,de.nextbike,400
"26th April, Sunday",Unknown,60. RockFlow,team.flowai.android,400
"26th April, Sunday",Unknown,61. WellTrade,com.weltrade.appterminal,400
"26th April, Sunday",Unknown,62. CubaMessenger,com.cubamessenger.cubamessengerapp,400
"26th April, Sunday",Unknown,63. Bolt Food,com.bolt.food,400
"26th April, Sunday",Unknown,64. PokerBet,com.pokerbet.casino,400
"25th April, Saturday",Unknown,39. TruthSocial,400rs,0
"25th April, Saturday",Unknown,40. Partiful,400rs,0
"25th April, Saturday",Unknown,41. NiceOne,400rs,0
"25th April, Saturday",Unknown,42. Qmove,400rs,0
"25th April, Saturday",Unknown,43. BetAndYou,400rs,0
"25th April, Saturday",Unknown,44. MarathonBet,400rs,0
"25th April, Saturday",Unknown,45. Nestle Waters,400rs,0
"25th April, Saturday",Unknown,46. MiTrade,400rs,0
"25th April, Saturday",Unknown,47. Yamaha Motor ID,400rs,0
"25th April, Saturday",Unknown,48. Yolla,400rs,0
"25th April, Saturday",Unknown,49. (Reserved/Skip),0rs,0
"23rd April, Thursday",Unknown,28. Healthify,400rs,0
"23rd April, Thursday",Unknown,29. Zid,400rs,0
"23rd April, Thursday",Unknown,30. XPariBet,400rs,0
"23rd April, Thursday",Unknown,31. Boyaa,400rs,0
"23rd April, Thursday",Unknown,32. WePlay,400rs,0
"23rd April, Thursday",Unknown,33. HepsiBurada,400rs,0
"23rd April, Thursday",Unknown,34. Canva,400rs,0
"23rd April, Thursday",Unknown,35. 4Fun,400rs,0
"23rd April, Thursday",Unknown,36. Yalla,400rs,0
"23rd April, Thursday",Unknown,37. AlmaGo,400rs,0
"23rd April, Thursday",Unknown,38. Catawiki,400rs,0
"22nd April, Wednesday",Unknown,19. HapyLive,400rs,0
"22nd April, Wednesday",Unknown,20. FastPari,400rs,0
"22nd April, Wednesday",Unknown,21. Planity,400rs,0
"22nd April, Wednesday",Unknown,22. Slack,400rs,0
"22nd April, Wednesday",Unknown,23. Floward,400rs,0
"22nd April, Wednesday",Unknown,24. Normal,400rs,0
"22nd April, Wednesday",Unknown,25. BetJam,400rs,0
"22nd April, Wednesday",Unknown,26. Ring,400rs,0
"22nd April, Wednesday",Unknown,27. Qunar,400rs,0
"21st April, Tuesday",Unknown,15. oneplus,400rs,0
"21st April, Tuesday",Unknown,16. mxt,com.vantagefx.app,400
"21st April, Tuesday",Unknown,17. Luckin Coffee,com.luckin.client.i,400
"21st April, Tuesday",Unknown,18. ccc,eu.ccc.mobile,400
"20th April, Monday",Unknown,6. Blink,400rs,0
"20th April, Monday",Unknown,7. DBBet,400rs,0
"20th April, Monday",Unknown,8. ivi.ru,400rs,0
"20th April, Monday",Unknown,9. MoonPay,400rs,0
"20th April, Monday",Unknown,10. Palfish,400rs,0
"20th April, Monday",Unknown,11. PokaLive,400rs,0
"20th April, Monday",Unknown,12. Wix,400rs,0
"20th April, Monday",Unknown,13. Chamet,400rs,0
"20th April, Monday",Unknown,14. dolynk,400rs,0
"15th April, Wednesday",Unknown,1. Hinge,400rs,0
"15th April, Wednesday",Unknown,2. Niimbot,400rs,0
"15th April, Wednesday",Unknown,3. VFS Global,400rs,0
"15th April, Wednesday",Unknown,4. yandexgo,400rs,0
"15th April, Wednesday",Unknown,5. yandexpro,400rs,0
